state,district,crop,year,season,area,production,yield
Andhra Pradesh,Anantapur,Coconut,2009,Whole Year,725,4247685,5858.88
Andhra Pradesh,Anantapur,Coconut,2010,Whole Year,786,6856000,8722.65
Andhra Pradesh,Anantapur,Coconut,2011,Whole Year,895,7165320,8005.94
Andhra Pradesh,Anantapur,Coconut,2012,Whole Year,646,5571000,8623.84
Andhra Pradesh,Anantapur,Coconut,2013,Whole Year,552,3969000,7190.22
Andhra Pradesh,Anantapur,Coconut,2014,Whole Year,687,5600000,8151.38
Andhra Pradesh,Anantapur,Coconut,2015,Whole Year,699,5600000,8011.44
Andhra Pradesh,Anantapur,Coconut,2016,Whole Year,347,4800000,13832.85
Andhra Pradesh,Anantapur,Coconut,2017,Whole Year,556,8600000,15467.63
Andhra Pradesh,Anantapur,Coconut,2018,Whole Year,448,7700000,17187.5
Andhra Pradesh,Anantapur,Coconut,2019,Whole Year,358,6588000,18402.23
Andhra Pradesh,Chittoor,Coconut,2000,Whole Year,4011,17215660,4292.11
Andhra Pradesh,Chittoor,Coconut,2001,Whole Year,4133,14827800,3587.66
Andhra Pradesh,Chittoor,Coconut,2002,Whole Year,4296,17209269,4005.88
Andhra Pradesh,Chittoor,Coconut,2003,Whole Year,4294,16827552,3918.85
Andhra Pradesh,Chittoor,Coconut,2004,Whole Year,4165,31934060,7667.24
Andhra Pradesh,Chittoor,Coconut,2005,Whole Year,3914,15729168,4018.69
Andhra Pradesh,Chittoor,Coconut,2006,Whole Year,4307,34924554,8108.79
Andhra Pradesh,Chittoor,Coconut,2008,Whole Year,3915,35594856,9091.92
Andhra Pradesh,Chittoor,Coconut,2009,Whole Year,3893,22798170,5856.2
Andhra Pradesh,Chittoor,Coconut,2010,Whole Year,3837,33444000,8716.18
Andhra Pradesh,Chittoor,Coconut,2011,Whole Year,3663,29376960,8019.92
Andhra Pradesh,Chittoor,Coconut,2012,Whole Year,3351,28899000,8623.99
Andhra Pradesh,Chittoor,Coconut,2013,Whole Year,2760,19847000,7190.94
Andhra Pradesh,Chittoor,Coconut,2014,Whole Year,3465,41600000,12005.77
